student_id,math_score,science_score,english_score,history_score,study_hours_week,quiz_attempts,consecutive_logins,material_access_freq,improvement_rate,score_consistency,time_per_question,class_size,resource_index,faculty_ratio,peak_study_time,weekend_study_ratio,knowledge_gap,predicted_score,overall_avg,science_math_diff,eng_hist_ratio
27,69,67,67,41,9,5,4,2,0.9472043420008791,0.19910434357972423,2.18950058290409,46,81,0.11495726427222079,4,0.13777860540391965,27,81,61,-2,1.63
28,57,52,74,69,6,3,9,6,2.430559863865602,0.37412342673543725,7.983322514491789,27,49,0.15126712996045483,2,0.4896444277877085,24,71,63,-5,1.07
29,61,69,71,50,20,1,1,8,1.9468465976176548,0.27338549239266735,4.499952599478622,39,34,0.05861749399956,9,0.49520844140432585,33,84,62,8,1.42
30,57,78,71,67,21,7,6,0,2.283469035647881,0.13836390406133722,3.836674752577369,36,52,0.05950605444633494,3,0.9052465040658745,35,81,68,21,1.06
31,87,79,84,75,35,7,1,0,1.5611023336062337,0.26293587972537974,7.123069892364864,32,54,0.11887212051257809,3,0.16534415219245338,27,59,81,-8,1.12
32,64,75,64,87,5,5,2,8,0.7005599342950215,0.17961396084045306,8.249140801035002,42,57,0.19250925124777313,18,0.6277252211309916,29,65,72,11,0.73
33,52,64,78,57,10,8,11,11,0.784241914686707,0.5301842239424032,4.758071334386713,51,45,0.1915241334980164,21,0.5047287327578847,23,63,62,12,1.37
34,74,50,80,62,35,5,5,2,2.4158628044214163,0.03614034367923903,1.8445684060601018,38,48,0.13985114417985497,12,0.6784845456151044,40,81,66,-24,1.29
35,50,65,73,66,10,4,2,3,1.1836338607553454,0.05126977236857507,1.2223267765216415,33,34,0.08333559419082798,3,0.45880991795702536,28,75,63,15,1.1
36,67,66,82,57,12,6,2,6,1.2749652176220465,0.5665288064641928,4.826080838503216,36,56,0.15951142219304476,9,0.03483757150703473,40,75,68,-1,1.44
37,41,66,76,78,33,5,2,1,2.4485174192882506,0.43229303584707385,5.978495748695175,57,33,0.0796183654272998,20,0.16590348580827016,17,59,65,25,0.97
38,49,76,84,67,13,3,2,0,1.4528263326355781,0.14387024092296488,1.1951859880358788,58,70,0.14267776531919424,17,0.031268431929330986,26,82,69,27,1.25
39,67,89,62,69,26,2,11,9,0.527630769487303,0.452002272247033,2.82534338903186,26,49,0.09925814845253536,21,0.5455439815640791,32,100,71,22,0.9
40,73,71,72,74,14,5,2,5,1.5922141443600426,0.22173817327413475,2.730044734306077,20,69,0.07944002472447896,9,0.43640291725174174,29,51,72,-2,0.97
41,67,67,74,67,28,3,2,5,1.9606665095243823,0.5272219876078258,3.365767732238886,35,56,0.0737579858542705,16,0.6794399062514237,23,70,68,0,1.1
42,63,67,53,59,6,4,1,4,1.583112075910024,0.4842248961647345,4.182816152399084,23,86,0.08102859068316004,14,0.07426830896030231,39,86,60,4,0.9
43,61,71,66,67,24,5,3,4,1.7952251015159675,0.3035699026618255,4.113989493895156,38,12,0.12455738795566496,11,0.770615199118291,49,69,66,10,0.98
44,47,61,68,58,21,3,6,18,1.5309136428031576,0.32600138614031315,7.981952714072085,33,17,0.05560539228012642,0,0.2596981112300151,14,56,58,14,1.17
45,56,71,82,69,37,5,1,4,0.9506362620697875,0.31347819144997985,9.707978928995015,27,68,0.0826448856415125,7,0.40174636325835833,32,73,69,15,1.19
46,59,74,69,78,18,5,1,0,0.6766976274913614,0.37324417380420866,8.985811710076032,53,35,0.17906167150624946,6,0.043146540399787436,28,98,70,15,0.88
47,77,72,68,55,36,4,2,1,0.5314761726070631,0.09110914712903187,5.1973001974493815,42,58,0.14443451195689827,2,0.18912695869196294,32,90,68,-5,1.23
48,69,74,81,51,28,4,4,1,1.8735248118885814,0.3121946461821412,3.348960477893524,42,54,0.1824004328696741,10,0.6758730246063914,21,68,68,5,1.59
49,43,74,62,68,24,2,2,1,1.2753925568549094,0.16726822304948488,6.0558130634114224,44,61,0.15234596197723654,12,0.5485695413923871,15,81,61,31,0.91
50,68,52,58,59,10,4,1,9,1.5236082137549414,0.16875683169917738,4.641190059994271,49,43,0.16358829198608005,9,0.5936395413149596,29,66,59,-16,0.98
51,60,76,72,68,37,4,1,3,0.7345562519528679,0.10262606288465946,12.6474660172997,22,47,0.1351039084325596,19,0.6849509776618758,21,70,69,16,1.06
52,56,63,63,71,32,1,1,3,1.6094469494159436,0.2565018663192385,3.320160292014931,45,53,0.11471658051852913,4,0.7042625644047537,26,71,63,7,0.89
53,72,59,63,44,15,3,6,21,0.9953820635955695,0.13354535779497584,11.29033087522261,35,56,0.11129796190184324,13,0.6713751621811989,28,82,59,-13,1.43
54,77,58,79,75,24,3,2,0,2.1306823109119097,0.1046273356715139,5.04798810912792,56,49,0.1752539735679337,20,0.15108149482865604,37,64,72,-19,1.05
55,76,74,82,55,10,4,3,2,1.6944679624590222,0.07600948490131708,6.539892559465674,40,29,0.14738507005808885,21,0.36984144179909406,41,79,71,-2,1.49
56,54,67,81,67,12,3,1,1,0.6254849184649649,0.11893767510380152,3.830426046181251,56,49,0.11341684410223357,9,0.22152889067013667,30,67,67,13,1.21
57,61,53,83,60,23,5,3,2,0.9298282489236416,0.4823266724890218,4.291247614488443,45,52,0.14072575246618557,3,0.5775205835683686,28,77,64,-8,1.38
58,68,74,84,61,19,1,6,0,0.9686147047016433,0.17219946083543142,6.5388221780966305,28,82,0.17046891358014138,14,0.7557983539171991,35,77,71,6,1.37
59,76,55,57,86,26,10,1,0,2.106610880243201,0.23390735394893092,7.800880216154198,47,36,0.15125470473796448,20,0.2423331817578543,20,81,68,-21,0.66
60,59,71,78,71,6,3,1,1,1.4775491175117046,0.3187037982780103,3.2192499818536247,59,76,0.0963041725490138,7,0.1426223105474331,32,77,69,12,1.1
61,62,72,70,77,32,8,4,0,1.787347903505936,0.34759113364655037,3.1682908183538325,52,64,0.1528332179900371,21,0.3420762027848343,26,75,70,10,0.91
62,51,78,69,69,22,2,5,14,1.47435658965142,0.10619661918575878,4.0028855330197555,43,52,0.1311823184730363,20,0.6423797205766484,20,87,66,27,1.0
63,50,87,79,74,16,2,4,0,1.3124794722843798,0.15344846341666527,2.9724908818558684,45,76,0.17488166000355282,15,0.3459128238699434,31,71,72,37,1.07
64,74,56,61,72,23,5,2,3,2.1469126764031876,0.23274448209674664,2.2159930505723358,51,50,0.18678918154185864,16,0.6652853306529513,40,63,65,-18,0.85
65,81,69,60,70,30,3,3,7,2.1453293898479195,0.5136269367970945,2.390827762931488,28,10,0.188291742778866,9,0.8426549091949284,22,70,70,-12,0.86
66,64,67,80,80,29,7,17,9,2.1829866759310352,0.6601684656839721,2.018904028793874,57,48,0.18357206803750714,12,0.6134314558683512,29,76,72,3,1.0
67,77,74,78,69,32,2,3,16,2.41391948190708,0.04224212686117382,2.1964012202178913,39,61,0.08199374719940322,12,0.10024449488457969,24,85,74,-3,1.13
68,69,72,76,93,19,6,3,4,1.161682653106688,0.04988483509249931,3.0380191825294607,57,55,0.0744570008934733,4,0.5105324070481245,27,72,77,3,0.82
69,57,66,67,78,14,5,3,1,1.9130530990577903,0.4800912008898319,4.187913219420974,33,40,0.07308769638694859,17,0.7501712625926095,33,72,67,9,0.86
70,69,65,80,55,38,4,2,5,1.175905631328302,0.45578631684978194,3.496375048831462,46,32,0.14141269710943072,3,0.3376038739035742,19,97,67,-4,1.45
71,83,58,80,66,17,3,4,4,2.285353067123335,0.2338777988551853,3.9371726499066972,31,69,0.0558435067661639,7,0.06925019253118625,36,62,71,-25,1.21
72,64,79,75,72,20,1,6,4,1.5575870885062681,0.6832732146487577,4.078750581103014,20,23,0.09976755075082819,22,0.3021715476703149,25,80,72,15,1.04
73,83,74,65,68,35,0,4,2,1.2438863992388656,0.4770098853665711,3.5608976007104056,51,48,0.18474667062611466,14,0.7754573400062216,31,75,72,-9,0.95
74,33,79,71,75,5,6,1,10,0.5152145943339446,0.36598294237123075,0.2572186246266797,31,56,0.09894243956526103,16,0.7076430409220681,17,64,64,46,0.95
75,74,66,81,76,27,4,2,4,1.849185001462772,0.34366718996343526,3.2836252317547636,55,37,0.09189482884341538,9,0.18246688119784032,26,75,74,-8,1.06
76,66,63,85,53,18,5,3,4,1.4100546777458116,0.3191305566529324,1.6134895011632808,52,59,0.09193621562493004,5,0.038898884397826926,22,80,66,-3,1.6
77,61,59,72,82,34,5,14,2,0.6912245198423568,0.19776915275493492,2.25940852747933,42,62,0.14651766010324724,6,0.25686358018608,29,77,68,-2,0.88
78,66,73,73,62,24,1,1,1,1.26278676163152,0.42362566218288406,3.6379870174242805,27,44,0.19764599834470442,5,0.6150360752051539,19,72,68,7,1.18
79,41,59,73,61,29,6,1,1,1.5263218547182613,0.09256533987312152,3.3665260155132333,32,66,0.0625131494712886,12,0.3356738613272676,33,52,58,18,1.19
80,62,88,77,61,15,4,5,4,1.1631588159503532,0.3621440313262868,10.313978786483908,57,60,0.10446883030944985,11,0.315078768483076,25,83,72,26,1.26
81,69,56,70,76,30,3,1,0,2.03989119670166,0.3889011371821295,6.5659861936815656,39,62,0.06578614925215828,2,0.09492702351139458,45,75,67,-13,0.92
82,82,72,51,65,25,6,4,13,1.9714604240728175,0.5911630220059135,4.042262056510329,41,74,0.18634467197431692,10,0.6204054261304741,30,78,67,-10,0.78
83,58,85,84,60,9,4,15,2,0.7327334422861407,0.1016349553366491,1.553399452873151,22,32,0.054574856330042915,2,0.6801180018485921,31,76,71,27,1.4
84,55,75,89,63,11,5,3,9,1.5274083578355298,0.5039847214602385,6.429467215319132,53,18,0.07157928102457539,14,0.8679542901799393,35,73,70,20,1.41
85,58,71,70,48,16,4,2,2,1.419263392755084,0.263170532981187,3.8553179158136044,53,71,0.13806841809319595,0,0.7732361346301893,40,73,61,13,1.46
86,75,60,66,58,6,5,6,0,2.0059245045521545,0.12369326282248898,3.486707681408692,36,47,0.1463107127619288,0,0.3736044666363154,30,73,64,-15,1.14
87,68,56,73,54,25,2,5,0,1.4727593360142235,0.09506146726495265,5.729006335888203,45,46,0.1371616855883126,19,0.8494519889067036,24,71,62,-12,1.35
88,58,77,73,65,36,5,4,0,1.1354815475641433,0.35600315376155833,2.1650832655940317,45,51,0.16772184344920893,4,0.06281425643490159,41,74,68,19,1.12
89,71,85,82,75,9,2,1,1,1.4382359529350792,0.5065760588509993,6.004831390007476,30,25,0.15350637695630953,21,0.09929397590115233,27,94,78,14,1.09
90,66,65,75,74,31,5,3,2,1.4507542333546757,0.015466320658894642,3.26147029516581,25,40,0.07744236555669684,7,0.18570138191935837,32,67,70,-1,1.01
91,76,58,68,81,35,2,1,0,0.8638573496563895,0.2876178835946575,3.154067144743232,48,37,0.11157696548414889,3,0.7275356174817007,18,75,70,-18,0.84
92,56,45,64,79,16,3,1,3,1.215053417570424,0.3241740966235239,3.608327523856574,24,38,0.053798127518887184,17,0.2660741274553933,34,77,61,-11,0.81
93,61,60,81,62,25,2,1,0,1.3277948946045168,0.14323397526309317,2.022835231646394,34,33,0.16387369992928053,0,0.24227468244473896,27,69,66,-1,1.3
94,60,68,79,68,23,2,1,3,0.6105858756333264,0.38500878767599106,4.607367324999274,49,49,0.16039037922015628,8,0.16411393293386123,28,63,68,8,1.16
95,47,85,83,67,7,4,2,4,1.75918305888376,0.07116459086252508,2.178880326953184,26,43,0.17710155214850876,2,0.8918452322341561,37,75,70,38,1.24
96,68,76,67,44,21,2,9,3,0.9220862475168845,0.43605631813797746,1.9171308971728576,57,82,0.0547989792779394,3,0.7264053625559961,13,84,63,8,1.52
97,68,73,89,54,34,6,1,3,1.1789766308428722,0.44701781659728823,4.783639802175892,22,52,0.08561271122416186,21,0.4809152624701323,43,79,71,5,1.65
98,65,65,61,66,13,8,4,0,0.8591499173432144,0.5292808592635375,6.630233948878712,44,56,0.17592472615998983,5,0.4200681002743305,29,73,64,0,0.92
99,62,64,80,66,38,5,2,4,1.9859629540916826,0.27988137681518127,3.2952723935714134,25,45,0.07165700890608209,10,0.051693171834607254,37,72,68,2,1.21
100,48,84,59,73,33,4,1,18,1.6058292514972712,0.49127534341017676,4.105119048053719,36,53,0.1676912068730682,2,0.23589780038901675,24,78,66,36,0.81
101,59,72,68,73,14,0,2,18,0.8967917322074455,0.18468177506182076,7.624367915662874,37,68,0.18651543700147322,19,0.15254215958193487,25,77,68,13,0.93
102,60,48,87,48,13,4,1,2,0.8944878894512884,0.13556149504903117,5.425395971672799,23,57,0.18133772219634497,19,0.33535529740212394,19,78,60,-12,1.81
103,55,63,81,73,15,5,4,6,0.9545313447347277,0.45285259507670955,1.2728400615480433,55,48,0.17943005471022466,20,0.20005394639746635,31,88,68,8,1.11
104,63,61,70,69,23,7,1,2,2.4172948962147376,0.46905490638024316,6.3864667605201415,40,30,0.09178051322597047,18,0.2748138177662265,45,73,65,-2,1.01
105,69,64,70,74,26,10,1,0,1.4488052173721804,0.42303300485404804,6.632957007250664,22,58,0.1347774647485997,2,0.4084817750031109,39,85,69,-5,0.94
106,87,75,75,79,26,6,2,6,2.358752867723398,0.27530880559304377,2.9619010041856777,23,33,0.12448619374223364,13,0.5675692893150682,36,75,79,-12,0.95
107,67,68,79,66,20,3,2,2,2.4829199647914164,0.49261576381682526,4.641036296450104,35,34,0.05209321974777545,21,0.3451844511044494,32,71,70,1,1.2
108,68,69,85,81,21,6,3,7,1.5198815166536623,0.2732220808670144,3.4548732551922443,43,24,0.05826435843108996,2,0.549790595850088,30,67,75,1,1.05
109,64,83,71,58,11,3,4,2,0.6703429567934434,0.290456547716905,4.357755518359118,25,41,0.19207567196676262,9,0.4544967625086157,30,70,69,19,1.22
110,41,63,62,57,35,3,2,0,2.1223239186480374,0.3763298211274905,1.230144609570362,51,100,0.07779375664515754,11,0.5315066356167266,22,61,55,22,1.09
111,64,88,76,72,8,2,4,9,1.7209330911950986,0.46409887377049835,7.453434396153451,34,60,0.1892804012063714,11,0.6625557545474285,17,76,75,24,1.05
112,65,63,71,63,33,4,1,0,0.6470978769828624,0.16087254609201093,4.470655911375306,47,31,0.16591815889416128,11,0.2840762672418399,46,81,65,-2,1.13
113,94,70,64,70,11,8,1,2,1.4787092077512127,0.5417037075778145,7.285221705581094,26,65,0.10465563118532409,6,0.41260565695951024,31,84,74,-24,0.91
114,62,67,77,89,34,5,8,5,1.8249036838759123,0.2545949988022742,3.1739046503165893,57,40,0.07887515341285045,10,0.4372737727542166,39,62,73,5,0.86
115,68,71,73,72,7,2,2,10,1.386690594196,0.34046985306227745,1.9108657318507565,42,34,0.10048498390333349,20,0.5661816861762066,25,97,71,3,1.01
116,64,74,77,70,29,2,1,0,1.653601175913874,0.3044374373374546,2.359091485266824,44,45,0.19762093579799322,9,0.37264806674499706,31,80,71,10,1.1
117,50,74,67,58,38,5,5,0,2.3700964805310365,0.2539510493708091,2.749521727445093,46,47,0.08523952873308907,17,0.12390458231720877,32,76,62,24,1.15
118,78,62,78,49,37,4,3,1,0.7813843744205051,0.471489990353573,2.606485133685066,28,53,0.18171483331271854,21,0.05779047171211523,20,60,66,-16,1.59
119,74,58,64,67,35,3,3,1,1.4687239215519676,0.2847141683499152,1.9768037562624787,53,60,0.06683806003034751,12,0.4682729575372045,11,78,65,-16,0.95
120,74,95,68,79,28,5,1,5,0.5167980436565063,0.11777688111400995,2.713105206729701,38,36,0.05915084213867218,5,0.19710546072869276,18,92,79,21,0.86
121,54,65,73,64,8,4,4,1,1.3736848320506982,0.2403267876999762,0.759897960138251,37,50,0.13653297078902013,4,0.3394598560882557,33,70,64,11,1.14
122,81,76,88,72,14,3,1,4,0.9140425989109984,0.3693851059905207,4.999501586890382,53,41,0.07433377718440226,14,0.44169654990918955,27,79,79,-5,1.22
123,48,53,81,83,29,6,1,5,0.9541851674954616,0.2561383504811334,4.647797413218828,28,28,0.13993407356475113,3,0.46678455032539506,13,46,66,5,0.97
124,72,67,83,83,5,5,1,8,0.9621226325672578,0.2951308932412178,5.416825273004186,30,47,0.0596773301514921,5,0.5233787210174772,27,65,76,-5,1.0
125,91,68,86,72,21,2,4,4,2.0187650210798895,0.09229463211627413,0.788616521037695,32,28,0.1746384176694074,7,0.16203998239725023,28,80,79,-23,1.19
126,53,74,100,69,11,5,5,12,1.5160914202690858,0.3637607135873559,4.670163230852836,26,59,0.17636503453696833,21,0.24050957683530919,27,74,74,21,1.45
127,58,42,75,51,18,3,1,5,1.2608321139367036,0.25391439122672643,4.1150402451562496,21,27,0.11055317532546705,21,0.09379471253589639,35,72,56,-16,1.47
128,66,71,86,61,5,3,2,1,0.5015505468941817,0.3033958678245645,4.466147050688223,33,37,0.16729498490911598,4,0.41802836090703055,29,94,71,5,1.41
129,58,58,83,64,10,4,1,14,2.171386749262699,0.38837138239479024,2.377539398187198,42,41,0.13504679133030278,19,0.5831151321843373,43,51,65,0,1.29
130,46,73,82,58,14,9,2,1,0.5001966450916893,0.23270515614979417,4.711525120042079,51,56,0.11188760970315464,1,0.8883281869147006,35,84,64,27,1.41
131,65,59,89,70,25,0,1,1,2.1156877901833226,0.7519089729406564,3.928505179722201,57,59,0.16852346435061805,15,0.31876485415379563,35,69,70,-6,1.27
132,52,61,71,89,7,2,12,6,1.9546982205776269,0.22342150937790647,5.151504037520536,52,56,0.15551700126239093,18,0.23866323963133773,37,60,68,9,0.8
133,70,67,71,84,23,4,5,3,0.7420497591173358,0.34771052266729957,2.7844471785186977,54,33,0.06085344076616754,6,0.5463983755951333,18,85,73,-3,0.84
134,53,59,77,70,32,7,3,0,1.7407743164534175,0.16891580745945528,3.6939235647855884,23,40,0.09355687417704493,7,0.5915275544064341,38,82,64,6,1.1
135,83,65,73,76,6,4,4,0,0.5223244599205896,0.20998599615231134,6.644943651267453,34,31,0.15876451916615036,7,0.6354690121815776,33,76,74,-18,0.96
136,55,58,77,59,31,2,1,0,0.9471973468327712,0.359752884951038,5.681259618987412,42,49,0.18541560810442653,4,0.3070286435381298,30,81,62,3,1.3
137,61,51,87,84,36,4,4,13,0.9820071170406968,0.2615968902090483,3.1158410614056056,49,75,0.19291169529863628,9,0.3042028853577937,28,70,70,-10,1.03
138,74,80,71,50,16,5,2,4,2.4617267998519217,0.7036237142253017,4.705492786340355,58,43,0.12038830858247461,19,0.8905932675518473,31,83,68,6,1.42
139,50,57,72,78,5,2,2,6,1.6416216952931384,0.06512139120972421,2.7107580961484015,51,34,0.19090386242931584,1,0.09409783918921559,11,73,64,7,0.92
140,67,68,76,73,33,5,7,0,0.5179805061275857,0.21010401944766738,2.7155774544821054,59,52,0.14725014291157124,4,0.3527667401843001,41,84,71,1,1.04
141,80,77,73,59,13,4,9,2,0.7576834645263486,0.5959625458821741,4.190130831104657,59,49,0.07113379391435419,1,0.34058855559205936,27,62,72,-3,1.24
142,45,63,59,65,22,3,5,4,0.8837369814958125,0.12227168509385378,8.38234612520837,27,60,0.19143700518838896,14,0.3293588324206373,38,96,58,18,0.91
143,67,61,70,55,20,3,5,3,2.143791836145039,0.6185747421978594,6.588428881776913,40,47,0.10670706743518518,3,0.25408882133325,34,89,63,-6,1.27
144,68,72,80,55,39,6,4,2,1.8574045131701908,0.2550411540320313,8.132289781663205,52,52,0.19982677711554864,9,0.8405855946688785,35,77,68,4,1.45
145,74,81,86,50,8,3,3,0,1.466232760584912,0.2270949180370553,2.999411370994115,48,58,0.1610136665754734,4,0.24854732760638235,26,79,72,7,1.72
146,50,58,65,76,39,5,1,5,2.121625487913306,0.3456025377838979,3.9265350116891318,35,48,0.08133587439248108,14,0.7672775864155666,32,79,62,8,0.85
147,49,68,65,81,23,3,3,4,1.4479937913009608,0.06064470691785093,3.902386834052278,44,68,0.13832823210786582,14,0.9564558927908084,23,70,65,19,0.8
148,71,52,75,44,10,6,1,2,2.1318737110227577,0.23555148208874024,2.638859538089471,47,48,0.12181385911040161,3,0.387683556439679,17,73,60,-19,1.7
149,68,66,58,88,35,5,1,13,0.9384058840076626,0.42002229978342587,1.7841168245663521,59,59,0.1233703381572194,21,0.46331030874932333,25,72,70,-2,0.66
150,68,70,71,67,31,4,6,7,2.3584493266608435,0.11272439907707715,4.810501114786643,48,61,0.19903201019477734,22,0.4301428590641292,37,67,69,2,1.06
151,69,61,61,71,7,7,3,2,2.4144939210736203,0.19286578859861928,2.7021538955670374,51,38,0.1742688734966651,9,0.3912993323737598,25,86,65,-8,0.86
152,56,65,85,51,6,4,1,0,1.7757346916290213,0.16469113090247395,3.622715562689642,45,57,0.1328248512286106,12,0.38393336700266123,17,82,64,9,1.66
153,67,55,68,82,19,3,1,8,1.7677861196998552,0.29597962513368997,6.394860762302818,54,36,0.1508672379249167,0,0.5161054940071651,21,91,68,-12,0.83
154,68,70,88,70,27,4,4,2,1.6305174865855483,0.20121474094747283,3.0163700516305747,27,35,0.0821207432372989,21,0.9387862264983879,44,66,74,2,1.26
155,56,80,83,80,10,4,8,3,1.3655377459831155,0.2207250768021489,0.6784809699969307,44,76,0.13741877469011116,3,0.6961620990683093,23,83,74,24,1.04
156,87,59,69,81,37,5,6,4,0.8574682706948178,0.06094683782420262,4.357771567747598,20,69,0.07961399327706599,1,0.9646805680563426,33,73,74,-28,0.85
157,70,63,66,82,9,4,2,5,0.8854287347059413,0.591728476026116,3.8481288084946743,30,47,0.11209728134511845,11,0.0681199597353842,18,80,70,-7,0.8
158,50,75,73,60,25,8,1,4,1.8048946771201526,0.19089342152490513,1.684483018629305,31,69,0.053255544427664996,5,0.6531245790840873,43,69,64,25,1.21
159,72,82,74,65,32,4,2,1,1.434378142137409,0.1104206513798419,8.453900546377579,25,70,0.1452091689447029,21,0.7016190034072558,42,61,73,10,1.14
160,53,55,77,61,25,7,4,0,0.9513983482868691,0.06534183167964641,5.082692056086984,26,14,0.16806672537236544,15,0.130327772662703,18,64,61,2,1.26
161,74,68,68,77,28,7,5,0,0.6840264049708786,0.09654609250131692,8.442749514290997,54,63,0.07447589371302285,19,0.21049592977019263,37,81,71,-6,0.88
162,78,72,80,71,32,9,2,0,2.418329811179773,0.44262736686764953,3.3183476392212827,36,36,0.06206437373055847,14,0.4968217384607172,31,75,75,-6,1.13
163,55,68,77,79,15,6,3,10,1.8769089609682812,0.09093195817067341,4.717656399492355,53,62,0.16476275628902665,6,0.21312908105604111,33,71,69,13,0.97
164,76,45,72,80,26,6,4,26,0.881458432479532,0.07196397841879157,6.381193704440849,43,62,0.052283296163136934,17,0.38298868763740096,34,71,68,-31,0.9
165,69,75,69,49,38,8,6,2,1.9991671532080577,0.41878740236198786,6.68216741460658,24,44,0.14186256793803897,20,0.5894011957718975,25,84,65,6,1.41
166,74,85,73,82,21,5,3,1,0.8383250930971009,0.2693758517574988,7.718618697173016,57,70,0.15362275802000175,19,0.6525361731480661,34,81,78,11,0.89
167,87,71,68,78,19,3,6,2,1.6784296542482522,0.5369663697505243,2.945233014741863,43,76,0.057565757617573765,10,0.31107178119885237,36,56,76,-16,0.87
168,62,59,75,63,33,6,1,0,1.6344831131222206,0.0840689047009875,7.245238611798877,35,60,0.10030060869777749,8,0.05846928670443492,34,84,64,-3,1.19
169,55,64,75,71,38,2,4,4,0.7165867097260006,0.13351609550497556,4.0827702262265015,58,52,0.12498975463251322,15,0.535823902522939,28,68,66,9,1.05
